Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Female,25,2016,CS241,Research Assistant (PSH),Non Executive,Family health,Institut Kesihatan Umum,Kerajaan,Research,1,1500
Female,23,2017,CS230,Website Developer,Executive,Graphic Design & Multimedia,Astana City Group Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Consumer Trading,1,1500
Female,24,2016,CS247,Commercial Executive,Executive,Business Strategy and Development,CTRM Aero Composite,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,24,2017,CS223,Event Management,Non Executive,Sales & Marketing,Simana Network,Corporate(Koperasi),Services,1,1500
Female,26,2015,CS247,Internal Audit Assistant ,Non Executive,Audit,Palmhead Management and Consultancy Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Plantation,2,1500
Male,26,2016,CS 243 ,Post Grad Student,Post Grad Student,CAIRO,UTM,Student,Education,3,1500
Female,24,2017,CS248,HR,Non Executive,HR,Symphony Security Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Services,1,1500
Male,24,2016,CS251,programmer,Executive,Software,Opensoft Technologies,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,24,2017,CS251,SL1M Trainee,Slim trainee,Network roll out,Celcom network,Corporate(Koperasi),Telecommunication,1,1500
Female,23,2015,CS113,CLERK,Non Executive,ADMINSTATION,UNIJOH SDN. BHD.,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,1500
Male,24,2013,CS110,Programmer ,Non Executive,It,Kjsb,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Male,25,2017,CS230,Software developer,Executive,Psg,Heitech padu berhad,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,23,2017,CS241,Planner,Executive,Planner ,TWP SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Female,23,2017,CS241,Planner,Executive,Planner ,TWP SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,1,2500.5
Male,23,2016,CS110,Mobile Application Developer,Executive,IT Department,POPLOOK Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,E-Commerce,3,7500.5
Female,26,2016,CS773,Data Analyser ,Non Executive,"Safety, Health & Security ",TNB Janamanjung,Publicity Traded Government -  Linked Company,Electrical Power,1,1500
Male,24,2017,CS230,Software Engineer,Developer,Enterprise ,Terato Tech,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Female,23,2017,CS251 ,Software Engineer,Non Executive,IT,DinarPal ,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,2500.5
Female,23,2017,CS242,SL1M,SL1M,INSURANCE MANAGEMENT,TM,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,1500
